Bildnummer;Zeit [s];X Position [cm];Y Position [cm];
1;0;0,41;7,86;
2;0,04;0,03;7,86;
3;0,08;-2,16;7,38;
4;0,12;-3,14;6,97;
5;0,16;-4;6,37;
6;0,2;-4,76;5,73;
7;0,24;-5,37;5,1;
8;0,28;-5,81;4,4;
9;0,32;-6,19;3,76;
10;0,36;-6,38;3,25;
11;0,4;-6,7;2,43;
12;0,44;-6,76;2,21;
13;0,48;-6,79;2,05;
14;0,52;-6,76;2,21;
15;0,56;-6,7;2,43;
16;0,6;-6,57;2,75;
17;0,64;-6,44;3,16;
18;0,68;-6,22;3,67;
19;0,72;-5,56;4,84;
20;0,76;-5,05;5,44;
21;0,8;-4,48;6,02;
22;0,84;-3,75;6,56;
23;0,88;-2,92;7,06;
24;0,92;-2,03;7,44;
25;0,96;-1,02;7,73;
26;1;1,05;7,83;
27;1,04;2,06;7,63;
28;1,08;3,08;7,32;
29;1,12;4;6,87;
30;1,16;4,79;6,37;
31;1,2;6,03;5,19;
32;1,24;6,48;4,62;
33;1,28;6,79;4,08;
34;1,32;7,05;3,63;
35;1,36;7,3;3,06;
36;1,4;7,33;2,97;
37;1,44;7,33;3;
38;1,48;7,3;3,1;
39;1,52;7,21;3,32;
40;1,56;7,05;3,63;
41;1,6;6,54;4,52;
42;1,64;6,16;5,03;
43;1,68;5,68;5,6;
44;1,72;5,11;6,11;
45;1,76;3,65;7,1;
46;1,8;2,79;7,44;
47;1,84;1,84;7,7;
48;1,88;0,86;7,86;
49;1,92;-0,1;7,83;
50;1,96;-2,03;7,44;
51;2;-2,86;7,1;
52;2,04;-3,65;6,65;
53;2,08;-4,35;6,17;
54;2,12;-4,89;5,67;
55;2,16;-5,68;4,62;
56;2,2;-5,94;4,21;
57;2,24;-6,16;3,86;
58;2,28;-6,32;3,6;
59;2,32;-6,35;3,38;
60;2,36;-6,41;3,32;
61;2,4;-6,35;3,48;
62;2,44;-6,25;3,63;
63;2,48;-6,13;3,92;
64;2,52;-5,94;4,3;
65;2,56;-5,65;4,68;
66;2,6;-5,33;5,13;
67;2,64;-4,41;6,08;
68;2,68;-3,84;6,52;
69;2,72;-3,14;6,97;
70;2,76;-2,38;7,35;
71;2,8;-1,52;7,6;
72;2,84;0,25;7,86;
73;2,88;1,17;7,83;
74;2,92;2,06;7,67;
75;2,96;2,95;7,41;
76;3;3,71;7,03;
77;3,04;4,44;6,62;
78;3,08;5,56;5,7;
79;3,12;5,97;5,29;
80;3,16;6,32;4,87;
81;3,2;6,54;4,56;
82;3,24;6,7;4,3;
83;3,28;6,86;4,05;
84;3,32;6,83;4,05;
85;3,36;6,76;4,17;
86;3,4;6,67;4,37;
87;3,44;6,22;4,97;
88;3,48;5,94;5,35;
89;3,52;5,52;5,76;
90;3,56;5,05;6,17;
91;3,6;4,48;6,62;
92;3,64;3,11;7,32;
93;3,68;2,32;7,57;
94;3,72;1,49;7,73;
95;3,76;0,67;7,86;
96;3,8;-0,19;7,83;
97;3,84;-1,84;7,51;
98;3,88;-2,6;7,22;
99;3,92;-3,27;6,87;
100;3,96;-3,87;6,49;
101;4;-4,41;6,08;
102;4,04;-4,83;5,7;
103;4,08;-5,46;5;
104;4,12;-5,65;4,71;
105;4,16;-5,78;4,52;
106;4,2;-5,87;4,4;
107;4,24;-5,9;4,33;
108;4,28;-5,84;4,46;
109;4,32;-5,71;4,62;
110;4,36;-5,56;4,84;
111;4,4;-5,33;5,13;
112;4,44;-5,05;5,48;
113;4,48;-4,7;5,83;
114;4,52;-3,78;6,56;
115;4,56;-3,21;6,9;
116;4,6;-2,57;7,22;
117;4,64;-1,87;7,54;
118;4,68;-1,11;7,7;
119;4,72;-0,35;7,83;
120;4,76;1,24;7,79;
121;4,8;2,03;7,67;
122;4,84;2,76;7,48;
123;4,88;3,43;7,19;
124;4,92;4,06;6,87;
125;4,96;5,08;6,17;
126;5;5,46;5,83;
127;5,04;5,75;5,51;
128;5,08;5,97;5,29;
129;5,12;6,16;5,1;
130;5,16;6,25;4,97;
131;5,2;6,32;4,9;
132;5,24;6,22;5,03;
133;5,28;6,06;5,19;
134;5,32;5,87;5,41;
135;5,36;5,65;5,67;
136;5,4;5,3;5,98;
137;5,44;4,44;6,62;
138;5,48;3,9;6,97;
139;5,52;3,3;7,22;
140;5,56;2,67;7,48;
141;5,6;1,94;7,67;
142;5,64;0,51;7,86;
143;5,68;-0,22;7,83;
144;5,72;-0,95;7,73;
145;5,76;-2,32;7,35;
146;5,8;-2,95;7,06;
147;5,84;-3,46;6,78;
148;5,88;-3,94;6,46;
149;5,92;-4,32;6,17;
150;5,96;-4,89;5,63;
151;6;-5,08;5,44;
152;6,04;-5,3;5,19;
153;6,08;-5,33;5,16;
154;6,12;-5,3;5,19;
155;6,16;-5,24;5,29;
156;6,2;-5,11;5,41;
157;6,24;-4,95;5,57;
158;6,28;-4,41;6,08;
159;6,32;-4,06;6,37;
160;6,36;-3,21;6,94;
161;6,4;-2,67;7,19;
162;6,44;-2,06;7,41;
163;6,48;-1,46;7,6;
164;6,52;-0,79;7,73;
165;6,56;-0,13;7,83;
166;6,6;1,27;7,79;
167;6,64;1,94;7,7;
168;6,68;2,57;7,51;
169;6,72;3,17;7,29;
170;6,76;3,71;7,03;
171;6,8;4,16;6,81;
172;6,84;4,92;6,3;
173;6,88;5,21;6,08;
174;6,92;5,43;5,89;
175;6,96;5,56;5,76;
176;7;5,68;5,63;
177;7,04;5,68;5,67;
178;7,08;5,59;5,76;
179;7,12;5,43;5,89;
180;7,16;5,24;6,05;
181;7,2;4,67;6,49;
182;7,24;4,29;6,71;
183;7,28;3,87;6,97;
184;7,32;3,4;7,19;
185;7,36;2,86;7,41;
186;7,4;2,29;7,6;
187;7,44;1,05;7,79;
188;7,48;0,38;7,86;
189;7,52;-0,25;7,83;
190;7,56;-0,89;7,73;
191;7,6;-1,49;7,63;
192;7,64;-2,06;7,44;
193;7,68;-3,05;7;
194;7,72;-3,46;6,78;
195;7,76;-3,81;6,59;
196;7,8;-4,1;6,37;
197;7,84;-4,32;6,17;
198;7,88;-4,51;6,02;
199;7,92;-4,7;5,89;
200;7,96;-4,7;5,83;
201;8;-4,67;5,86;
202;8,04;-4,6;5,95;
203;8,08;-4,48;6,05;
204;8,12;-4,06;6,4;
205;8,16;-3,78;6,59;
206;8,2;-3,46;6,78;
207;8,24;-3,08;7,03;
208;8,28;-2,63;7,22;
209;8,32;-2,16;7,41;
210;8,36;-1,08;7,7;
211;8,4;-0,51;7,79;
212;8,44;0,06;7,86;
213;8,48;0,7;7,86;
214;8,52;1,27;7,83;
215;8,56;2,35;7,6;
216;8,6;2,89;7,41;
217;8,64;3,33;7,22;
218;8,68;3,75;7,03;
219;8,72;4,1;6,87;
220;8,76;4,41;6,68;
221;8,8;4,83;6,4;
222;8,84;4,95;6,3;
223;8,88;5,02;6,27;
224;8,92;5,05;6,21;
225;8,96;5,02;6,27;
