Bildnummer;Zeit [s];X Position [cm];Y Position [cm];
1;0;0,43;7,63;
2;0,04;-3,14;6,71;
3;0,08;-3,97;6,21;
4;0,12;-4,65;5,63;
5;0,16;-5,66;4,37;
6;0,2;-6;3,81;
7;0,24;-6,21;3,29;
8;0,28;-6,37;2,89;
9;0,32;-6,52;2,52;
10;0,36;-6,55;2,31;
11;0,4;-6,58;2,25;
12;0,44;-6,55;2,34;
13;0,48;-6,49;2,55;
14;0,52;-6,4;2,86;
15;0,56;-6;3,75;
16;0,6;-5,75;4,25;
17;0,64;-5,35;4,83;
18;0,68;-4,86;5,38;
19;0,72;-4,28;5,97;
20;0,76;-3,57;6,49;
21;0,8;-1,88;7,29;
22;0,84;-0,89;7,51;
23;0,88;0,12;7,6;
24;0,92;1,14;7,57;
25;0,96;2,15;7,38;
26;1;4;6,61;
27;1,04;4,77;6,06;
28;1,08;5,41;5,45;
29;1,12;5,94;4,86;
30;1,16;6,34;4,28;
31;1,2;6,83;3,35;
32;1,24;6,98;2,98;
33;1,28;7,05;2,8;
34;1,32;7,11;2,71;
35;1,36;7,14;2,74;
36;1,4;7,08;2,8;
37;1,44;6,86;3,45;
38;1,48;6,61;3,78;
39;1,52;6,34;4,28;
40;1,56;5,97;4,83;
41;1,6;5,48;5,38;
42;1,64;4,21;6,43;
43;1,68;3,41;6,89;
44;1,72;2,55;7,23;
45;1,76;1,57;7,51;
46;1,8;0,58;7,63;
47;1,84;-0,4;7,57;
48;1,88;-2,31;7,14;
49;1,92;-3,17;6,71;
50;1,96;-3,97;6,21;
51;2;-5,14;5,08;
52;2,04;-5,57;4,52;
53;2,08;-5,88;4;
54;2,12;-6,12;3,54;
55;2,16;-6,28;3,14;
56;2,2;-6,37;2,89;
57;2,24;-6,46;2,62;
58;2,28;-6,46;2,65;
59;2,32;-6,46;2,77;
60;2,36;-6,34;3,02;
61;2,4;-6,03;3,69;
62;2,44;-5,81;4,15;
63;2,48;-5,48;4,65;
64;2,52;-5,05;5,17;
65;2,56;-4,55;5,69;
66;2,6;-3,94;6,18;
67;2,64;-2,43;7,08;
68;2,68;-1,57;7,35;
69;2,72;-0,58;7,57;
70;2,76;0,37;7,63;
71;2,8;1,32;7,57;
72;2,84;3,17;7,01;
73;2,88;4,03;6,55;
74;2,92;4,77;6,06;
75;2,96;5,38;5,51;
76;3;5,85;4,95;
77;3,04;6,25;4,43;
78;3,08;6,74;3,63;
79;3,12;6,86;3,35;
80;3,16;6,98;3,17;
81;3,2;7,01;3,11;
82;3,24;6,98;3,17;
83;3,28;6,8;3,45;
84;3,32;6,65;3,78;
85;3,36;6,4;4,21;
86;3,4;6,06;4,68;
87;3,44;5,69;5,17;
88;3,48;5,2;5,72;
89;3,52;3,91;6,68;
90;3,56;3,11;7,01;
91;3,6;2,22;7,35;
92;3,64;1,32;7,57;
93;3,68;0,4;7,63;
94;3,72;-1,51;7,38;
95;3,76;-2,4;7,08;
96;3,8;-3,23;6,71;
97;3,84;-3,97;6,21;
98;3,88;-4,55;5,69;
99;3,92;-5,45;4,65;
100;3,96;-5,75;4,21;
101;4;-6;3,78;
102;4,04;-6,15;3,45;
103;4,08;-6,28;3,23;
104;4,12;-6,34;3,08;
105;4,16;-6,34;3,02;
106;4,2;-6,28;3,2;
107;4,24;-6,18;3,45;
108;4,28;-6,03;3,75;
109;4,32;-5,81;4,12;
110;4,36;-5,54;4,55;
111;4,4;-4,77;5,51;
112;4,44;-4,28;5,97;
113;4,48;-3,63;6,43;
114;4,52;-2,92;6,83;
115;4,56;-2,12;7,2;
116;4,6;-0,34;7,57;
117;4,64;0,58;7,63;
118;4,68;1,54;7,51;
119;4,72;2,4;7,29;
120;4,76;3,29;6,95;
121;4,8;4,06;6,55;
122;4,84;4,71;6,09;
123;4,88;5,78;5,05;
124;4,92;6,12;4,58;
125;4,96;6,43;4,15;
126;5;6,58;3,85;
127;5,04;6,74;3,6;
128;5,08;6,86;3,45;
129;5,12;6,83;3,51;
130;5,16;6,71;3,63;
131;5,2;6,58;3,88;
132;5,24;6,4;4,18;
133;5,28;6,15;4,58;
134;5,32;5,38;5,48;
135;5,36;4,89;5,94;
136;5,4;4,28;6,43;
137;5,44;3,6;6,8;
138;5,48;2,8;7,17;
139;5,52;1,94;7,41;
140;5,56;0,15;7,63;
141;5,6;-0,74;7,57;
142;5,64;-1,63;7,35;
143;5,68;-2,46;7,08;
144;5,72;-3,23;6,68;
145;5,76;-4,49;5,75;
146;5,8;-4,98;5,29;
147;5,84;-5,35;4,83;
148;5,88;-5,66;4,43;
149;5,92;-5,88;4,03;
