Zeit [s];Winkel [Grad]
1,4;67,94298765170623
3,28;59,443289520521176
5,2;52,21298961966594
7,0;45,25329534152696
8,92;39,11816471209052
10,8;33,3140384479369
12,64;28,456054805007266
14,52;23,962488974578186
16,4;20,253251787373845
18,28;17,182159296419897
20,12;14,350956211087784
22,04;11,791874720340793
23,88;9,974409698639674
25,68;8,49855887949368
27,56;7,134022287135249
29,36;6,244165389708043
29,48;6,244165389708043
31,24;5,306142064913623
33,12;4,872213413730458
35,0;3,9301755457254806
35,08;3,9301755457254806
